"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
9037,Q-1192-F7987,FIRESTOP,28 Aug 2017,IQ,Anc C.L.,"MOCK UP For Labour Accomodation (G+3 Typ Upper Roof) Plot # 365-173 At Al Quoz Industrial 2nd, Dubai",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,375,AED,Waleed B.M.,Order
9038,Q-1192-F7986,FIRESTOP,28 Aug 2017,IQ,Modern B.C.,Residential Multi Storey Building 2B (Parking)+G+9 Typical RC D-030-Dubai Land LWO 108/41,Supply Of FP04,Firestop/ DC 315,Fire,6000,AED,Samar T.,Order
9039,Q-1192-F7962A,FIRESTOP,28 Aug 2017,IQ,Al H.C.,P140-10 2B+G+2P+18+R HOTEL BLDG ON PLOT 346-556 @ BUSINESS BAY,Supply Of MEP Materials,Firestop/ DC 315,Fire,450,AED,Waleed B.M.,Quotation
9040,Q-1192-F7985,FIRESTOP,28 Aug 2017,IQ,Fibrex C.G.,FIRESTOPPING PROJECT,Supply Of DC68 Spray To Protect,Firestop/ DC 315,Fire,14250,AED,Karim E.,Quotation
9041,RFQ-1592-S9084,MACRO,27 Aug 2017,RFQ,Yashel Y.C.,"W5J9JE-16-R-0049 - Afghan National Police, Police Academy Female Staff College",ORD-Y108-05 KB005 - Cantina Revisions And Descope Remaining Work Bldg.,Subcontract,Services,552.14,USD, ,Order
9042,Q-1192-C6082,FIRESTOP,27 Aug 2017,IQ,Al R.I.,Dubco Project,Supply Of MV Lapolla 2500/3,Polyurethane Foam,Chemicals,82908,AED,Karim E.,Order
9043,Q-1192-F7984,FIRESTOP,24 Aug 2017,IQ,Siemens L.,ADCO Project ASAB,Supply Of INSS1440,Firestop/ DC 315,Fire,1340,AED,Samar T.,Order
9044,Q-1192-F7983,FIRESTOP,24 Aug 2017,IQ,Omega S.E.,B+G+2P+12 @ Al Furjan AFMU 44B_45,Supply Of MEP Materials,Firestop/ DC 315,Fire,741,AED,Waleed B.M.,Quotation
9045,RFQ-1569-V4358,MACRO,24 Aug 2017,RFQ,Dream C.A.,Maintenance And Repairing Of Duct Work (1801-1802),Maintenance And Repairing Of Duct Work (1801-1802),Misc.,Various,5800,AED, ,Order
9046,Q-1192-F7982,FIRESTOP,23 Aug 2017,IQ,Al H.C.,B+G+1P+16+R+ Hotel Building Plot # 346-585 @BB Dubai,SUPPLY OF MVL FIRESTOP MATERIALS CJ-MEP,Firestop/ DC 315,Fire,58404,AED,Waleed B.M.,Quotation
9047,Q-1192-F7981,FIRESTOP,23 Aug 2017,IQ,Waseela -.I.,HILLS PROJECT,Supply Of CFS01 And INSS1440,Firestop/ DC 315,Fire,820,AED,Samar T.,Quotation
9048,Q-1192-F7980,FIRESTOP,23 Aug 2017,IQ,City C.C.,B+G+4 Residental Building Jumeirah Village Plot No. JVC13FMRP003,Supply Of INSS1440,Firestop/ DC 315,Fire,695,AED,Waleed B.M.,Order
9049,Q-1192-F7979,FIRESTOP,23 Aug 2017,IQ,Tiger C.C.,Tiger Contracting Project Site : 170 LPO 11063,SUPPLY OF INSS2460,Firestop/ DC 315,Fire,75000,AED,Waleed B.M.,Order
9050,Q-1192-F7978,FIRESTOP,23 Aug 2017,IQ,China R.1.,Hotel Building B+G+4P+40F+R @ JVC DUBAI,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,75990,AED,Waleed B.M.,Quotation
9051,Q-1192-F7977,FIRESTOP,23 Aug 2017,IQ,Aic C.L.,PROPOSED HOTEL BLDG 2B+G+14 FLOOR+ROOF ON PLOT 326-1450 AL JADDAF LPO # 006565,Supply Of MVL Firestop Materials,Firestop/ DC 315,Fire,5061.4,AED,Waleed B.M.,Order
9052,Q-1192-F7976,FIRESTOP,22 Aug 2017,IQ,Reem C.C.,PROPOSED 2B+G+6 STOREY RESIDENTIAL BUILDING / PLOT NO. 3731095 AL BARSHA - DUBAI,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,61401.7,AED,Samar T.,Quotation
9053,Q-1005-M7004,MACRO,22 Aug 2017,IQ,American C.G.,SSA40017Q0009 - ELECTRIC FORKLIFT 2 TON AND DIESEL FORKLIFT 10 TON CAPACITY,ELECTRIC FORKLIFT 2 TON AND DIESEL FORKLIFT 10 TON CAPACITY,Mechanical Items,Mechanical,449000,SAR, ,Quotation
9054,Q-1192-F7971A,FIRESTOP,22 Aug 2017,IQ,Al B.C.,FIRESTOPPING PROJECT,SUPPLY OF DC68 SPRAY TO PROTECT,Firestop/ DC 315,Fire,85,AED,Karim E.,Order
