poNumber,poDate,poName,supplier,originalValue,currency,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,year,month,yearMonth,valueUSD,poSpendUSD,poType,changeOrderGroup,changeOrderTotal,project
RFPO-1005-M7070-1,11 Jul 2023,"PO for Size 1 1/4 inch - 32 mm SMC HYDRUS ULTRASONIC WATER METER ,DN DN 32 Q3 10.0 , G3/2B 260mm BODY LENGTH incl ,8 DIGITS LCD DISPLAY ,OMS over Radio 434 Mhz, IP 68 PROTECTION , BATTERY OPERATED FOR",Saudi Meters Company,1100.0,SAR,1005,6448,M7070,MICRON,Mechanical,Mechanical,1,False,2023,7,2023-07,293.33,293.33,Base PO,1,1,"PO for Size 1 1/4 inch - 32 mm SMC HYDRUS ULTRASONIC WATER METER ,DN DN 32 Q3 10.0 , G3/2B 260mm BODY LENGTH incl ,8 DIGITS LCD DISPLAY ,OMS over Radio 434 Mhz, IP 68 PROTECTION , BATTERY OPERATED FOR"
RFPO-5213-V40013-1,11 Jul 2023,PO for THIRD PARTY INSPECTION OF COMPACT SUBSTATION,TUV SUD MIDDLE EAST LLC,371.0,USD,5213,6449,V40013,MACRO,Various,Various,1,False,2023,7,2023-07,371.0,371.0,Base PO,1,1,PO for THIRD PARTY INSPECTION OF COMPACT SUBSTATION
RFPO-1192-V4330-1,10 Jul 2023,PO for Weatherproof silicone NWS-2000,"SHANDONG FEIDU ADHESIVE TECHNOLOGY SHARES CO.,LTD",6436.8,USD,1192,6443,V4330,MVL Nepal,Various,Various,1,False,2023,7,2023-07,6436.8,6436.8,Base PO,1,1,PO for Weatherproof silicone NWS-2000
RFPO-5829-V4353-1,07 Jul 2023,PO for ACI Concrete Field Testing Technician Grade 1- training & certification,BUILDACT FZ LLC,23300.0,AED,5829,6439,V4353,MACRO,Various,Various,1,False,2023,7,2023-07,6344.45,6344.45,Base PO,1,1,PO for ACI Concrete Field Testing Technician Grade 1- training & certification
RFPO-5532-V40010-1,07 Jul 2023,PO for EMIRATES STEEL REBAR EPOXY COATED 10mm by 6 meters lenght,RAK Middle East Traders LLC,4191.5,AED,5532,6441,V40010,MACRO,Various,Various,1,False,2023,7,2023-07,1141.32,1141.32,Base PO,1,1,PO for EMIRATES STEEL REBAR EPOXY COATED 10mm by 6 meters lenght
RFPO-1005-V7075-1,07 Jul 2023,PO for GALA BRONZ BALL VLV #150 NPT(1251) 1-1/4 inch MADE IN USA,SALEH ZAID ALQURAISHI & PARTNERS TRAD.CO.LTD.,2651.55,SAR,1005,6440,V7075,MICRON,Various,Various,1,False,2023,7,2023-07,707.08,707.08,Base PO,1,1,PO for GALA BRONZ BALL VLV #150 NPT(1251) 1-1/4 inch MADE IN USA
RFPO-5532-V40009A-1,07 Jul 2023,PO for Plumbing Materials for LSA Man Camp,MISAR TRADING CO. ( L L C),24285.890000000007,AED,5532,6442,V40009A,MVL USA JV LLC,Various,Various,1,False,2023,7,2023-07,6612.9,6612.9,Base PO,1,1,PO for Plumbing Materials for LSA Man Camp
RFPO-1005-V7077-1,06 Jul 2023,PO for Armaflex Tube Ins.AC Size: 25mm thk. x 12mmDia 2mtrs./pc,Mariam Trading Company & Partner,10918.0,SAR,1005,6437,V7077,MICRON,Various,Various,1,False,2023,7,2023-07,2911.47,2911.47,Base PO,1,1,PO for Armaflex Tube Ins.AC Size: 25mm thk. x 12mmDia 2mtrs./pc
RFPO-5532-V4359-1,05 Jul 2023,PO for Brand SAFETOE Model Best Cat Manufacturer   PPE ONLINE,PPE SAFETY PRODUCTS TRADING LLC,285.0,AED,5532,6433,V4359,MVL Nepal,Various,Various,1,False,2023,7,2023-07,77.6,77.6,Base PO,1,1,PO for Brand SAFETOE Model Best Cat Manufacturer   PPE ONLINE
RFPO-1005-V7076-1,05 Jul 2023,"PO for CAT6, 4P, 24AWG, PO/PVC, UNSHIELDED, BLUE COLOR",Extol International Trading LLC,58800.0,AED,1005,6434,V7076,MICRON,Various,Various,1,False,2023,7,2023-07,16010.89,16010.89,Base PO,1,1,"PO for CAT6, 4P, 24AWG, PO/PVC, UNSHIELDED, BLUE COLOR"
