quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-2394-S9077,2018-03-19,2018-06-20,93,2018-03,4872
RFQ-2394-S9076,2018-03-12,2018-06-20,100,2018-03,4840
RFQ-1613-M4103,2018-03-04,2018-03-06,2,2018-03,4814
RFQ-1613-M4102,2018-03-04,2018-03-06,2,2018-03,4813
RFQ-2152-V4351,2018-02-27,2018-02-28,1,2018-02,4799
RFQ-2394-S9073,2018-02-27,2018-06-20,113,2018-02,4795
RFQ-2394-S9072,2018-02-25,2018-06-20,115,2018-02,4789
RFQ-2394-S9071,2018-02-25,2018-06-20,115,2018-02,4788
RFQ-1094-V4352,2017-04-26,2017-04-26,0,2017-04,3780
RFQ-1581-V4251,2017-03-30,2017-04-02,3,2017-03,3691
RFQ-1593-M4102,2017-01-29,2017-01-29,0,2017-01,3514
RFQ-1595-V4251,2016-12-20,2016-12-22,2,2016-12,3408
RFQ-1608-V4251,2016-12-15,2016-12-15,0,2016-12,3394
RFQ-1569-V4351,2016-12-14,2016-12-14,0,2016-12,3389
RFQ-1592-V4251,2016-11-30,2016-11-30,0,2016-11,3363
RFQ-1592-T1000,2016-11-30,2016-11-30,0,2016-11,3362
RFQ-1592-S9074,2016-10-15,2016-11-30,46,2016-10,3278
RFQ-1614-V4251,2016-10-09,2016-10-09,0,2016-10,3264
RFQ-1428-V4253,2016-03-13,2016-03-13,0,2016-03,2727
RFQ-1428-V4252,2016-03-13,2016-03-13,0,2016-03,2726
RFQ-1005-M6985,2015-12-20,2015-12-20,0,2015-12,2493
RFQ-1005-F7045,2015-11-22,2015-12-20,28,2015-11,2398
RFQ-1005-F7044,2015-11-22,2015-12-20,28,2015-11,2397
RFQ-1192-V4251,2015-10-27,2015-10-27,0,2015-10,2317
RFQ-982-1614,2015-04-20,2015-04-20,0,2015-04,1614
RFQ-982-1597,2015-04-13,2015-04-20,7,2015-04,1597
RFQ-982-1592,2015-04-12,2015-04-20,8,2015-04,1592
RFQ-566-1557,2015-03-29,2015-03-29,0,2015-03,1557
RFQ-566-1428,2015-01-28,2015-03-29,60,2015-01,1428
RFQ-637-1260,2014-11-09,2015-01-19,71,2014-11,1260
RFQ-637-1259,2014-11-09,2015-01-19,71,2014-11,1259
RFQ-637-1258,2014-11-09,2015-01-19,71,2014-11,1258
RFQ-566-1217,2014-10-26,2015-03-29,154,2014-10,1217
RFQ-637-1169,2014-10-01,2015-01-19,110,2014-10,1169
RFQ-573-1005,2014-07-20,2014-07-21,1,2014-07,1005
RFQ-573-1004,2014-07-20,2014-07-21,1,2014-07,1004
RFQ-573-1003,2014-07-20,2014-07-21,1,2014-07,1003
RFQ-158-714,2014-01-14,2014-01-14,0,2014-01,714
RFQ-158-713,2014-01-14,2014-01-14,0,2014-01,713
RFQ-158-710,2014-01-14,2014-01-14,0,2014-01,710
RFQ-256-603,2013-11-04,2013-11-04,0,2013-11,603
RFQ-256-602,2013-11-04,2013-11-04,0,2013-11,602
RFQ-1013-546,2013-10-03,2013-10-03,0,2013-10,546
RFQ-1013-544,2013-10-03,2013-10-03,0,2013-10,544
RFQ-1013-543,2013-10-02,2013-10-03,1,2013-10,543
RFQ-913-536,2013-09-30,2013-09-30,0,2013-09,536
RFQ-913-534,2013-09-30,2013-09-30,0,2013-09,534
RFQ-913-526,2013-09-25,2013-09-30,5,2013-09,526
RFQ-7932-V40003,2026-02-10,2026-02-10,0,2026-02,15266
RFQ-7932-V40002,2026-02-10,2026-02-10,0,2026-02,15265
RFQ-7932-V40001,2026-02-10,2026-02-10,0,2026-02,15263
RFQ-7932-V40000,2026-02-10,2026-02-10,0,2026-02,15262
RFQ-8206-O1,2025-12-24,2025-12-24,0,2025-12,15092
RFQ-7616-M4000,2025-10-27,2025-10-28,1,2025-10,14849
RFQ-7878-V40000,2025-10-24,2025-10-24,0,2025-10,14843
RFQ-7864-V40000,2025-08-20,2025-08-20,0,2025-08,14599
RFQ-5828-O1,2025-07-09,2025-07-09,0,2025-07,14435
RFQ-7505-V40000,2025-07-07,2025-07-09,2,2025-07,14423
RFQ-7414-P4800,2025-06-04,2025-06-04,0,2025-06,14283
RFQ-7044-V40000,2025-04-28,2025-04-28,0,2025-04,14113
RFQ-7212-V40000,2025-03-18,2025-03-19,1,2025-03,13939
RFQ-7073-V40000,2025-02-13,2025-02-18,5,2025-02,13823
RFQ-7120-V40001,2025-02-07,2025-02-07,0,2025-02,13807
RFQ-7120-V40000,2025-02-06,2025-02-07,1,2025-02,13805
RFQ-7208-V40000,2025-02-03,2025-02-03,0,2025-02,13780
RFQ-7098-V40000,2024-11-20,2025-01-10,51,2024-11,13521
RFQ-7204-S9073,2024-10-15,2024-10-15,0,2024-10,13363
RFQ-7198-S9072,2024-10-15,2024-10-15,0,2024-10,13362
RFQ-7205-S9073,2024-10-15,2024-10-15,0,2024-10,13358
RFQ-7039-V40000,2024-09-10,2024-09-11,1,2024-09,13221
RFQ-6841-M4101,2024-09-06,2024-09-09,3,2024-09,13208
RFQ-7103-E6800,2024-08-29,2024-09-05,7,2024-08,13183
RFQ-6481-S9100,2024-08-29,2024-08-29,0,2024-08,13179
RFQ-7027-M4000,2024-08-26,2024-08-26,0,2024-08,13169
RFQ-6746-V40001,2024-08-21,2024-08-21,0,2024-08,13152
RFQ-6952-V40000,2024-08-21,2024-08-21,0,2024-08,13151
RFQ-7010-V40000,2024-08-08,2024-08-29,21,2024-08,13125
RFQ-6746-M4101,2024-08-08,2024-08-21,13,2024-08,13124
RFQ-5429-V40000,2024-08-08,2024-08-08,0,2024-08,13118
RFQ-6718-V40001B,2024-08-06,2024-08-07,1,2024-08,13108
RFQ-6718-V40002A,2024-08-06,2024-08-07,1,2024-08,13106
RFQ-6852-V40001,2024-08-03,2024-08-07,4,2024-08,13097
RFQ-6852-V40000,2024-08-02,2024-08-07,5,2024-08,13095
RFQ-6680-V40000,2024-07-23,2024-07-23,0,2024-07,13060
RFQ-6542-V40003,2024-06-24,2024-06-24,0,2024-06,12999
RFQ-6542-V40002,2024-06-24,2024-06-24,0,2024-06,12998
RFQ-6542-V40001,2024-06-24,2024-06-24,0,2024-06,12997
RFQ-6542-E6800,2024-06-24,2024-06-24,0,2024-06,12994
RFQ-6542-V40000,2024-06-24,2024-06-24,0,2024-06,12992
RFQ-6424-V40000,2024-04-03,2024-04-03,0,2024-04,12799
RFQ-6069-V40000,2024-03-25,2024-03-25,0,2024-03,12763
RFQ-6505-V40000,2024-02-15,2024-02-15,0,2024-02,12660
