No,Order Number,Order Date,Client Name,Supply of,Destination
190,ORD-1610,"Aug 31, 2016",Mvl G.,Subcontract for Fuel Tank Enhancement - Qatar,"Camp As Sayliyah, Doha, Qatar"
191,ORD-1608,"Sep 26, 2016",Regional C.C.,(QR 126) W912D2-16-D-0002-1602 Refurbish Guard Tower 17,"Camp As Sayliyah, Doha, Qatar"
192,ORD-1607,"Sep 23, 2016",Regional C.C.,"(QR 131) W912D2-16-D-0002-1609 Bird Deterrent Sys, Sunshade,...","Camp As Sayliyah, Doha, Qatar"
193,ORD-1595,"Sep 20, 2016",Regional C.C.,(QR 132) W912D2-16-D-0002-1513-CAS Road Marking Improvement ...,"Camp As Sayliyah, Doha, Qatar"
194,ORD-1594,"Sep 20, 2016",Regional C.C.,(QR 129) W912D2-16-D-0002-1519 Replacement Refrigeration Equ...,"Camp As Sayliyah, Doha, Qatar"
195,ORD-1593,"Sep 20, 2016",Regional C.C.,(QR 130) W912D2-16-D-0002-1613-Humidity Controlled Warehouse...,"Camp As Sayliyah, Doha, Qatar"
196,ORD-1592,"Sep 15, 2016",Usace -.(.,"W5J9JE-16-C-0013 - Afghan National Police, Police Academy Fe...","Kabul, Afghanistan"
197,ORD-1581,"Aug 31, 2016",Regional C.C.,W912D2-16-C-0115~Fuel Tank Enhancements at CAS-South,"Camp As Sayliyah, Doha, Qatar"
198,ORD-1569,"Aug 16, 2016",Mvl G.,MVL Group Office Related POs,Dubai
199,ORD-1428,"Mar 02, 2016",Mvl G.,MW-OCS,Worldwide
200,ORD-1192,"Jul 01, 2015",Mvl G.,MVL Firestop Bldg MaterialTrdg LLC,Middle East Region
201,ORD-1094,"Jun 15, 2015",Admiral ,MACRO DEFENSE PROPOSALS,GLOBAL
202,ORD-1005,"Apr 09, 2015",Mvl G.,MVL Trading,ALL
203,ORD-982,"Mar 19, 2015",Usace -.(.,MFNDU,"MFNDU - Kabul, Afghanistan"
204,ORD-781,"Nov 13, 2014",,AL DHAFRA,"Abu Dhabi, United Arab Emirates"
205,ORD-637,"Aug 23, 2014",Mvl G.,MOI-NPCC,"MOI NPCC Kabul, Afghanistan"
206,ORD-573,"Jul 20, 2014",Mvl G.,Delaram - Prime Scope,"Delaram, Afghanistan"
207,ORD-566,"Jul 06, 2014",,Khas kunar,"Khas Khunar, Afghanistan"
208,ORD-497,"Apr 03, 2014",,Delaram - Scope 2,"Delaram, Afghanistan"
209,ORD-256,"Sep 01, 2013",Ecc-i ,ECC-I_SHORABAK FIT OUT WORK_PO-913-480,"Shorabak, Afghanistan"
210,ORD-158,"May 01, 2013",Mvl G.,Delaram - Scope 1,"Delaram, Afghanistan"
