poNumber,poDate,poName,supplier,originalValue,currency,valueUSD,poSpendUSD,tax,taxUSD,netTotal,netTotalUSD,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,poType,changeOrderGroup,changeOrderTotal,year,month,yearMonth,project
RFPO-5622-V40002-1,09 Nov 2023,PO for SS Engraved Labels,Grace Labels LLC,1800.0,AED,490.13,490.13,90.0,24.51,1890.0,514.64,5622,RFPO-5622-V40002,V40002,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,11,2023-11,BIOT-121.05 N4008422F4312 REPAIR RUNWAY EDGE LIGHTING SYSTEM
RFPO-5829-M4104-1,08 Nov 2023,PO for UNIT REF. FCU-A-01 AIR FLOW (LPS) 119 COOLING COIL CAPACITY TOTAL KW 1.9 COOLING COIL CAPACITY SENSIBLE  KW 1.9 MODEL TFC M-035,COOL TECHNOLOGIES,550000.0800000001,AED,149761.76,149761.76,27500.004,7488.09,577500.084,157249.85,5829,RFPO-5829-M4104,M4104,MACRO,Machine / Equipments,Mechanical,1,False,Base PO,1,1,2023,11,2023-11,"ORD-5829 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, United Arab Emirates"
RFPO-1005-M7084-1,06 Nov 2023,"PO for [SMV] Mini Ball Valve or Gauge cock, Lever Handle Mini , Brass body, SS ball, 400psi max, 1/2 inch NPT F x F connection, SMV504-V",ALI MANEA ALYAMI TRADING EST.,112.0,SAR,29.87,29.87,16.8,4.48,128.8,34.35,1005,RFPO-1005-M7084,M7084,MICRON,Mechanical Items,Mechanical,1,False,Base PO,1,1,2023,11,2023-11,Transportation Of Expansion Joints From China To Nepal
RFPO-5193-A5205-1,02 Nov 2023,PO for Plastic Caps matching the frame 250 PCS and Manufacturer Labels 42 pcs,ARCHITECTURAL METAL DOORS FZC,1650.0,AED,449.29,449.29,82.5,22.46,1732.5,471.75,5193,RFPO-5193-A5205,A5205,MACRO,Doors,Architectural,1,False,Base PO,1,1,2023,11,2023-11,"(KSA 126) W912ER21C0014 KHAMIS SIMULATOR FACILITY, KSA"
RFPO-5655-T1002-1,02 Nov 2023,PO for RACU X-012 TESTING EQUIPMENT - ANAUM,Anaum Measuring Equipment LLC,3527.14,AED,960.42,960.42,176.357,48.02,3703.497,1008.44,5655,RFPO-5655-T1002,T1002,MACRO,Tools,Tools,1,False,Base PO,1,1,2023,11,2023-11,"BIOT-121.12 N4008422F4366/N4008421R0079 X012 EPROJECT 1575276 REPLACE AC UNITS, UNACCOMPANIED PERSONNEL HOURSING (UPH) 28"
RFPO-6168-E6801-1,01 Nov 2023,PO for Water Heater,TIC LIGHT ELECTRICAL CORP,750.04,USD,750.04,750.04,0.0,0,750.04,750.04,6168,RFPO-6168-E6801,E6801,MACRO,Electrical,Electrical,1,False,Base PO,1,1,2023,11,2023-11,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-5532-M4007-1,01 Nov 2023,PO for A batch spare part of DONGFENG truck mounted  crane,Evangel International Machinery Ltd.,1639.0,USD,1639.0,1639.0,0.0,0,1639.0,1639.0,5532,RFPO-5532-M4007,M4007,MVL USA JV LLC,Machine / Equipments,Mechanical,1,False,Base PO,1,1,2023,11,2023-11,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
RFPO-6168-V40025-1,01 Nov 2023,"PO for TPI visit for Steel Doors & Frames at QMI, Dubai",TUV SUD MIDDLE EAST LLC,1000.0,AED,272.29,272.29,50.0,13.61,1050.0,285.91,6168,RFPO-6168-V40025,V40025,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,11,2023-11,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-1005-V7143-1,01 Nov 2023,PO for TYPE WB1 BRAND VIDMAR COO USA WARRANTY 12,United Solution FZE,76500.0,USD,76500.0,76500.0,0.0,0,76500.0,76500.0,1005,RFPO-1005-V7143,V7143,MICRON,Misc.,Various,1,False,Base PO,3,3,2023,11,2023-11,Transportation Of Expansion Joints From China To Nepal
RFPO-5532-V4363-1,01 Nov 2023,PO for Description Customized Black Short Sleeve Polo Shirt Drifit with 1 position logo embroidery on front left chest (MVL Broomgrove) logo  Material :-Polyester Pique Type Black color (Pk-10)  Size,The Uniform World Tailoring and Textiles LLC,1320.0,AED,359.43,359.43,66.0,17.97,1386.0,377.4,5532,RFPO-5532-V4363,V4363,FIRESTOP,Building Materials,Various,1,False,Base PO,1,1,2023,11,2023-11,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
