poNumber,poDate,poName,supplier,entity,project,material,materialCode,value,currency,year,month,mainOrderId,orderId,poType
RFPO-5532-V40074-1,11 Jun 2025,"PO for Drain Pipes (DIEGO GARCIA PROJECT, TASK NO.-Mancamp) - QT-4020326 REV-02",CRESCO MIDDLE EAST TRADING L.L.C,MVL USA JV LLC,"PO for Drain Pipes (DIEGO GARCIA PROJECT, TASK NO.-Mancamp) - QT-4020326 REV-02",Various,Various,3572.09,USD,2025,6,5532,RFPO-5532-V40074,Base PO
RFPO-6705-V40091-1,10 Jun 2025,"PO for PRESHIPMENT INSPECTION AS PER LIST PROVIDED - MARSHALL ISLANDS HEAVY MACHINES AND EQUIPMENTS WITH SPARE PARTS - -JFV640506, JFV640534, JFV640583, JFV569388, JFV640583",V-Trust Inspection Service Co. Ltd.,MACRO,"PO for PRESHIPMENT INSPECTION AS PER LIST PROVIDED - MARSHALL ISLANDS HEAVY MACHINES AND EQUIPMENTS WITH SPARE PARTS - -JFV640506, JFV640534, JFV640583, JFV569388, JFV640583",Various,Various,1608.0,USD,2025,6,6705,RFPO-6705-V40091,Base PO
RFPO-7139-M4005-2,10 Jun 2025,PO for TRAILER GVWR 12000 - FAW-6K-20D -,"Kaufman Trailers, LLC",MVL USA JV LLC,PO for TRAILER GVWR 12000 - FAW-6K-20D -,Mechanical,Mechanical,6720.0,USD,2025,6,7139,RFPO-7139-M4005,Change Order
RFPO-7139-E6801A-1,10 Jun 2025,PO for ATCT COSA Electrical,TIC LIGHT ELECTRICAL CORP,MVL Nepal,PO for ATCT COSA Electrical,Electrical,Electrical,69268.44,USD,2025,6,7139,RFPO-7139-E6801A,Base PO
RFPO-1569-O94-1,10 Jun 2025,"PO for Microsoft 365 GCC G5 (Governmental Community Cloud Pricing) (Invoices 111336, 110731, and 109824)",Managed Solution LLC,MACRO,"PO for Microsoft 365 GCC G5 (Governmental Community Cloud Pricing) (Invoices 111336, 110731, and 109824)",Office Assets,Office Assets,12505.07,USD,2025,6,1569,RFPO-1569-O94,Base PO
RFPO-6705-V40076-2,10 Jun 2025,PO for HDPE Corrugated Pipe and Fittings,HOLBROOK PIPE SUPPLY INC.,MVL USA JV LLC,PO for HDPE Corrugated Pipe and Fittings,Various,Various,20888.98,USD,2025,6,6705,RFPO-6705-V40076,Change Order
RFPO-7139-V40022-1,10 Jun 2025,PO for EPS39 GEOFOAM,Dateline Exports Inc.,MVL USA JV LLC,PO for EPS39 GEOFOAM,Various,Various,3603.6,USD,2025,6,7139,RFPO-7139-V40022,Base PO
RFPO-7139-V40022-2,10 Jun 2025,PO for EPS39 GEOFOAM,Dateline Exports Inc.,MVL USA JV LLC,PO for EPS39 GEOFOAM,Various,Various,3694.51,USD,2025,6,7139,RFPO-7139-V40022,Change Order
RFPO-1005-M7109-1,09 Jun 2025,PO for CLIN 0001 - FCX Solid State Frequency Converter.,OILTRAK SERVICES LLC,MICRON,PO for CLIN 0001 - FCX Solid State Frequency Converter.,Mechanical,Mechanical,1445527.94,USD,2025,6,1005,RFPO-1005-M7109,Base PO
RFPO-6542-V40036-2,04 Jun 2025,PO for Roofing Materials (Non Hazardous Items),HEELY-BROWN COMPANY,MVL USA JV LLC,PO for Roofing Materials (Non Hazardous Items),Various,Various,17360.66,USD,2025,6,6542,RFPO-6542-V40036,Change Order
