quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-573-1004,2014-07-20,2014-07-21,1,2014-07,
RFQ-573-1003,2014-07-20,2014-07-21,1,2014-07,
RFQ-497-886,2014-04-03,2014-04-03,0,2014-04,
RFQ-158-714,2014-01-14,2014-01-14,0,2014-01,
RFQ-158-713,2014-01-14,2014-01-14,0,2014-01,
RFQ-158-711,2014-01-14,2014-01-14,0,2014-01,
RFQ-158-710,2014-01-14,2014-01-14,0,2014-01,
RFQ-258-700,2014-01-07,2014-01-07,0,2014-01,
RFQ-256-606,2013-11-04,2013-11-04,0,2013-11,
RFQ-256-605,2013-11-04,2013-11-04,0,2013-11,
RFQ-256-603,2013-11-04,2013-11-04,0,2013-11,
RFQ-256-602,2013-11-04,2013-11-04,0,2013-11,
RFQ-1013-546,2013-10-03,2013-10-03,0,2013-10,
RFQ-1013-544,2013-10-03,2013-10-03,0,2013-10,
RFQ-1013-543,2013-10-02,2013-10-03,1,2013-10,
RFQ-913-536,2013-09-30,2013-09-30,0,2013-09,
RFQ-913-535,2013-09-30,2013-09-30,0,2013-09,
RFQ-913-534,2013-09-30,2013-09-30,0,2013-09,
RFQ-913-533,2013-09-30,2013-09-30,0,2013-09,
RFQ-913-526,2013-09-25,2013-09-30,5,2013-09,
RFQ-913-512,2013-09-19,2013-09-30,11,2013-09,
RFQ-913-511,2013-09-19,2013-09-30,11,2013-09,
RFQ-913-510,2013-09-18,2013-09-30,12,2013-09,
RFQ-913-509,2013-09-18,2013-09-30,12,2013-09,
RFQ-8133-M4000,2026-02-24,2026-02-26,2,2026-02,
RFQ-7932-V40003,2026-02-10,2026-02-10,0,2026-02,
RFQ-7932-V40002,2026-02-10,2026-02-10,0,2026-02,
RFQ-7932-V40001,2026-02-10,2026-02-10,0,2026-02,
RFQ-7932-V40000,2026-02-10,2026-02-10,0,2026-02,
RFQ-8206-O1,2025-12-24,2025-12-24,0,2025-12,
RFQ-7616-M4000,2025-10-27,2025-10-28,1,2025-10,
RFQ-7878-V40000,2025-10-24,2025-10-24,0,2025-10,
RFQ-7864-V40000,2025-08-20,2025-08-20,0,2025-08,
RFQ-5828-O1,2025-07-09,2025-07-09,0,2025-07,
RFQ-7505-V40000,2025-07-07,2025-07-09,2,2025-07,
RFQ-7414-P4800,2025-06-04,2025-06-04,0,2025-06,
RFQ-7044-V40000,2025-04-28,2025-04-28,0,2025-04,
RFQ-7212-V40000,2025-03-18,2025-03-19,1,2025-03,
RFQ-7073-V40000,2025-02-13,2025-02-18,5,2025-02,
RFQ-7120-V40001,2025-02-07,2025-02-07,0,2025-02,
RFQ-7120-V40000,2025-02-06,2025-02-07,1,2025-02,
RFQ-7208-V40000,2025-02-03,2025-02-03,0,2025-02,
RFQ-7098-V40000,2024-11-20,2025-01-10,51,2024-11,
RFQ-7204-S9073,2024-10-15,2024-10-15,0,2024-10,
RFQ-7198-S9072,2024-10-15,2024-10-15,0,2024-10,
RFQ-7205-S9073,2024-10-15,2024-10-15,0,2024-10,
RFQ-7039-V40000,2024-09-10,2024-09-11,1,2024-09,
RFQ-6841-M4101,2024-09-06,2024-09-09,3,2024-09,
RFQ-7103-E6800,2024-08-29,2024-09-05,7,2024-08,
RFQ-6481-S9100,2024-08-29,2024-08-29,0,2024-08,
RFQ-7027-M4000,2024-08-26,2024-08-26,0,2024-08,
RFQ-6746-V40001,2024-08-21,2024-08-21,0,2024-08,
RFQ-6952-V40000,2024-08-21,2024-08-21,0,2024-08,
RFQ-7010-V40000,2024-08-08,2024-08-29,21,2024-08,
RFQ-6746-M4101,2024-08-08,2024-08-21,13,2024-08,
RFQ-5429-V40000,2024-08-08,2024-08-08,0,2024-08,
RFQ-6718-V40001B,2024-08-06,2024-08-07,1,2024-08,
RFQ-6718-V40002A,2024-08-06,2024-08-07,1,2024-08,
RFQ-6852-V40001,2024-08-03,2024-08-07,4,2024-08,
RFQ-6852-V40000,2024-08-02,2024-08-07,5,2024-08,
RFQ-6680-V40000,2024-07-23,2024-07-23,0,2024-07,
RFQ-6542-V40003,2024-06-24,2024-06-24,0,2024-06,
RFQ-6542-V40002,2024-06-24,2024-06-24,0,2024-06,
RFQ-6542-V40001,2024-06-24,2024-06-24,0,2024-06,
RFQ-6542-E6800,2024-06-24,2024-06-24,0,2024-06,
RFQ-6542-V40000,2024-06-24,2024-06-24,0,2024-06,
RFQ-6424-V40000,2024-04-03,2024-04-03,0,2024-04,
RFQ-6069-V40000,2024-03-25,2024-03-25,0,2024-03,
RFQ-6505-V40000,2024-02-15,2024-02-15,0,2024-02,
RFQ-6645-S9100,2024-02-07,2024-02-07,0,2024-02,
RFQ-6646-R1500,2024-02-01,2024-02-01,0,2024-02,
RFQ-6544-V40000,2024-01-15,2024-01-15,0,2024-01,
RFQ-6408-V40001,2023-10-12,2023-10-17,5,2023-10,
RFQ-6408-V40000,2023-10-12,2023-10-17,5,2023-10,
RFQ-6424-E6800,2023-09-25,2024-04-03,191,2023-09,
RFQ-6168-A5201,2023-08-11,2023-08-14,3,2023-08,
RFQ-6168-V40004,2023-08-10,2023-08-14,4,2023-08,
RFQ-6168-V40003,2023-08-10,2023-08-14,4,2023-08,
RFQ-6168-V40002,2023-08-10,2023-08-14,4,2023-08,
RFQ-6168-V40000A,2023-08-10,2023-08-14,4,2023-08,
RFQ-5695-V40000,2023-07-19,2023-07-19,0,2023-07,
RFQ-5581-T1000,2023-05-17,2023-05-17,0,2023-05,
RFQ-5581-V40001,2023-05-17,2023-05-17,0,2023-05,
RFQ-5684-S9031A,2023-04-17,2023-04-17,0,2023-04,
RFQ-5622-V40000,2023-03-01,2023-03-02,1,2023-03,
RFQ-5655-V40000,2023-02-27,2023-03-08,9,2023-02,
RFQ-5683-V40000,2023-02-27,2023-02-27,0,2023-02,
RFQ-5657-V40000,2023-02-27,2023-03-13,14,2023-02,
RFQ-5626-V40001,2023-02-27,2023-02-27,0,2023-02,
RFQ-5626-V40000,2023-02-21,2023-02-27,6,2023-02,
RFQ-5532-M4000,2023-02-01,2023-02-02,1,2023-02,
RFQ-5829-R1500,2023-01-16,2023-01-16,0,2023-01,
