RowNo,PONumber,PODate,POName,Supplier,Entity,Project,Material,Discipline,Value,Currency,Year,Month,SourceTab,OriginalSource
28,RFPO-7098-V40001-1,14 Jan 2026,PO for Electrical Butt Connectors,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,"ORD-7098 BIOT-121.69 N4008424F4613_eProject 1735497 QC2090- REPAIR TAXIWAY SIGNS, F-200044",Building Materials,Construction,326.4,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
29,RFPO-7139-V40067-1,14 Jan 2026,PO for Valve Boxes and cover for Water & Fire,EJ USA Inc.,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,2904.16,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
30,RFPO-7878-V40006-1,14 Jan 2026,PO for Vane Axial Fans,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,,Mechanical Items,Mechanical,25321.32,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
31,RFPO-7878-V40005-1,14 Jan 2026,PO for Manual Balancing Dampers,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,,Mechanical Items,Mechanical,2235.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
32,RFPO-7139-E6824-1,14 Jan 2026,PO for ATCT LSA - Lift Station - Electrical Conduit & fitting,TIC LIGHT ELECTRICAL CORP,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,4367.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
33,RFPO-7139-E6825-1,14 Jan 2026,PO for  ATCT LSA - Lift Station-Eaton Circuit Breaker,AL GHANDI SWITCHGEARS INDUSTRY,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,310.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
34,RFPO-6705-V40166-1,13 Jan 2026,PO for DWV pipe and Elbow for FCU and ACCU,American International Supply Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,300.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
35,RFPO-5829-V40041-1,13 Jan 2026,PO for Heavy Duty Bridge Deck Finisher (QT-202633),Lomeq Technical Services Co. L.L.C,MACRO,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,Mechanical,7624.4,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
36,RFPO-1569-O116-1,13 Jan 2026,PO for Internal - Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - Inv - 116866,Managed Solution LLC,MACRO,OFFICE 1803 FURNITURES,Misc.,General,1909.2,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
37,RFPO-5153-S9115-1,13 Jan 2026,PO for Blanket Purchase Order P010027.00 – 0097 -001 - Percassi,IMPRESA PERCASSI S.P.A.,MVL Italy,"ITA-121 N6247021C0003 P-759 Family Housing New Construction Villaggio  And Camp Ederle North Vicenza, Italy",Misc.,General,1.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
38,RFPO-5153-S9116-1,13 Jan 2026,PO for Blanket Purchase Order - P010027.00 – 0097 -002 – Gemmo . ,GEMMO SPA,MVL Italy,"ITA-121 N6247021C0003 P-759 Family Housing New Construction Villaggio  And Camp Ederle North Vicenza, Italy",Misc.,General,0.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
39,RFPO-1569-O115-1,13 Jan 2026,PO forAronis Advance Management Includes RDP - January - June 2026 - INV/25-26/084,RivYv Technologies,MACRO,OFFICE 1803 FURNITURES,Misc.,General,4230.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
40,RFPO-7139-M4104-1,13 Jan 2026,PO for GAC filter system 600GPM,"Dongguan Haiyuan Water Treatment Co., LTD","MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,99710.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
41,RFPO-7139-M4103-1,12 Jan 2026,PO for Supply of Lift Station Submersible Pump Set,M.A.H.Y. KHOORY & CO. LLC,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,27332.95,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
42,RFPO-7139-V40066-1,12 Jan 2026,PO for Opaque Polyethylene sheet,"White Cap Supply Holdings, LLC","MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,822.97,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
43,RFPO-6705-V40165-1,12 Jan 2026,PO for Drill Bits,Tsang Brothers Corporation,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,570.56,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
44,RFPO-6705-A5202-1,12 Jan 2026,PO for Hardware Items for Bldg 729,Lakshmi Metal Tech LLC,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,493.14,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
45,RFPO-6705-V40164-1,08 Jan 2026,PO for Rebar Touch up Paints,Dateline Exports Inc.,MACRO,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,General,4681.19,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
46,RFPO-7139-V40065-1,08 Jan 2026,PO for Cut and Bend Rebars and Patch Kits ,Nucor Rebar Fabrication,"MVL USA, INC","RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,Services,21534.0,USD,2026,1,M&D (Materials & Disciplines),GSA Workbench PO with discipline mapping applied
