RowNo,PONumber,PODate,POName,Supplier,Entity,EntityCode,Project,Material,OriginalValue,Currency,ValueUSD,POSpendUSD,POType,Year,Month,YearMonth,UsedInTab
28,RFPO-7098-V40001-1,14 Jan 2026,PO for Electrical Butt Connectors,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,V40001,"ORD-7098 BIOT-121.69 N4008424F4613_eProject 1735497 QC2090- REPAIR TAXIWAY SIGNS, F-200044",Building Materials,326.4,USD,326.4,326.4,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
29,RFPO-7139-V40067-1,14 Jan 2026,PO for Valve Boxes and cover for Water & Fire,EJ USA Inc.,"MVL USA, INC",V40067,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,2904.16,USD,2904.16,2904.16,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
30,RFPO-7878-V40006-1,14 Jan 2026,PO for Vane Axial Fans,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,V40006,,Mechanical Items,25321.32,USD,25321.32,25321.32,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
31,RFPO-7878-V40005-1,14 Jan 2026,PO for Manual Balancing Dampers,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,V40005,,Mechanical Items,2235.0,USD,2235.0,2235.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
32,RFPO-7139-E6824-1,14 Jan 2026,PO for ATCT LSA - Lift Station - Electrical Conduit & fitting,TIC LIGHT ELECTRICAL CORP,"MVL USA, INC",E6824,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,4367.0,USD,4367.0,4367.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
33,RFPO-7139-E6825-1,14 Jan 2026,PO for  ATCT LSA - Lift Station-Eaton Circuit Breaker,AL GHANDI SWITCHGEARS INDUSTRY,"MVL USA, INC",E6825,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,310.0,USD,310.0,310.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
34,RFPO-6705-V40166-1,13 Jan 2026,PO for DWV pipe and Elbow for FCU and ACCU,American International Supply Inc.,MACRO,V40166,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,300.0,USD,300.0,300.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
35,RFPO-5829-V40041-1,13 Jan 2026,PO for Heavy Duty Bridge Deck Finisher (QT-202633),Lomeq Technical Services Co. L.L.C,MACRO,V40041,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,28000.0,AED,7624.4,7624.4,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
36,RFPO-1569-O116-1,13 Jan 2026,PO for Internal - Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - Inv - 116866,Managed Solution LLC,MACRO,O116,OFFICE 1803 FURNITURES,Misc.,1909.2,USD,1909.2,1909.2,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
37,RFPO-5153-S9115-1,13 Jan 2026,PO for Blanket Purchase Order P010027.00 – 0097 -001 - Percassi,IMPRESA PERCASSI S.P.A.,MVL Italy,S9115,"ITA-121 N6247021C0003 P-759 Family Housing New Construction Villaggio  And Camp Ederle North Vicenza, Italy",Misc.,1.0,USD,1.0,1.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
38,RFPO-5153-S9116-1,13 Jan 2026,PO for Blanket Purchase Order - P010027.00 – 0097 -002 – Gemmo . ,GEMMO SPA,MVL Italy,S9116,"ITA-121 N6247021C0003 P-759 Family Housing New Construction Villaggio  And Camp Ederle North Vicenza, Italy",Misc.,0.0,USD,0.0,0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
39,RFPO-1569-O115-1,13 Jan 2026,PO forAronis Advance Management Includes RDP - January - June 2026 - INV/25-26/084,RivYv Technologies,MACRO,O115,OFFICE 1803 FURNITURES,Misc.,4230.0,USD,4230.0,4230.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
40,RFPO-7139-M4104-1,13 Jan 2026,PO for GAC filter system 600GPM,"Dongguan Haiyuan Water Treatment Co., LTD","MVL USA, INC",M4104,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,99710.0,USD,99710.0,99710.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
41,RFPO-7139-M4103-1,12 Jan 2026,PO for Supply of Lift Station Submersible Pump Set,M.A.H.Y. KHOORY & CO. LLC,"MVL USA, INC",M4103,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,100378.08,AED,27332.95,27332.95,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
42,RFPO-7139-V40066-1,12 Jan 2026,PO for Opaque Polyethylene sheet,"White Cap Supply Holdings, LLC","MVL USA, INC",V40066,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,822.97,USD,822.97,822.97,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
43,RFPO-6705-V40165-1,12 Jan 2026,PO for Drill Bits,Tsang Brothers Corporation,MACRO,V40165,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,570.56,USD,570.56,570.56,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
44,RFPO-6705-A5202-1,12 Jan 2026,PO for Hardware Items for Bldg 729,Lakshmi Metal Tech LLC,MACRO,A5202,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,1811.0,AED,493.14,493.14,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
45,RFPO-6705-V40164-1,08 Jan 2026,PO for Rebar Touch up Paints,Dateline Exports Inc.,MACRO,V40164,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,4681.19,USD,4681.19,4681.19,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
46,RFPO-7139-V40065-1,08 Jan 2026,PO for Cut and Bend Rebars and Patch Kits ,Nucor Rebar Fabrication,"MVL USA, INC",V40065,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,21534.0,USD,21534.0,21534.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
47,RFPO-1005-V7263-2,08 Jan 2026,PO for Ductile Iron Pipes & fittings,Cimmaron International Corporation,MICRON,V7263,SUPPLY OF FRP PIPES,Fit Out Project,26544.46,USD,26544.46,26544.46,Change Order,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
48,RFPO-5829-R1512-1,07 Jan 2026,"PO for Hydraulic Crane, 100 Ton Rough Terrain, standard main boom  - Agreement No.: 2EC2501138",JOHNSON ARABIA LLC,MACRO,R1512,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,70000.0,AED,19061.0,19061.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
49,RFPO-5829-R1512-2,07 Jan 2026,"PO for Hydraulic Crane, 100 Ton Rough Terrain, standard main boom  - Agreement No.: 2EC2501138",JOHNSON ARABIA LLC,MACRO,R1512,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,72000.0,AED,19605.6,19605.6,Change Order,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
50,RFPO-7139-V40064-2,07 Jan 2026,PO for Trench Boxes with Accessories,ALLEN TRENCH SAFETY CORPORATION,"MVL USA, INC",V40064,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,34985.55,USD,34985.55,34985.55,Change Order,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
51,RFPO-5829-V40039-1,07 Jan 2026,PO for Supply of ductile iron (DI) manhole covers and frames as per approved submittal,Unitech Di Pipes & Fittings Mfg. LLC,MACRO,V40039,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,127922.86,AED,34833.39,34833.39,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
52,RFPO-6705-V40005-3,07 Jan 2026,NEW UNIT SUBSTATION & PRIMARY SELECTIVE SWITCHES,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,V40005,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,173389.43,USD,173389.43,173389.43,Change Order,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
53,RFPO-5829-V40040-1,07 Jan 2026,PO for Candor - Supply of Basket Assembly 10mm Dia Round Rod L=1m (Uncoated)- Ref: UDIP/UAE/18102024/CANDOR/7174 REV04,Unitech Di Pipes & Fittings Mfg. LLC,MACRO,V40040,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,51732.0,AED,14086.62,14086.62,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
54,RFPO-7878-V40003-1,07 Jan 2026,PO for Expansion and Buffer Tanks,INTEGRATED CONTRACTING SUPPLIERS,MVL USA JV LLC,V40003,,Mechanical Items,8957.0,USD,8957.0,8957.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
55,RFPO-6705-A5301-1,06 Jan 2026,PO for Paints & coatings for Building 729,BM Middle East FZC,MACRO,A5301,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,2212.0,USD,2212.0,2212.0,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
56,RFPO-7139-E6823-1,06 Jan 2026,PO for PVC nonmetallic conduits (CANTEX),TIC LIGHT ELECTRICAL CORP,"MVL USA, INC",E6823,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,7116.68,USD,7116.68,7116.68,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
57,RFPO-7212-V40019-1,06 Jan 2026,PO for Nitrogen Generator & Air Compressor,"South-Tek Systems, LLC","MVL USA, INC",V40019,"ORD-7212 JPN-143 W912HV24C0010 FY23 OMA, Convert Vehicle Storage Warehouse, B122-S1",Building Materials,40826.8,USD,40826.8,40826.8,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
58,RFPO-7139-V40064-1,06 Jan 2026,PO for Trench Boxes with Accessories ,ALLEN TRENCH SAFETY CORPORATION,"MVL USA, INC",V40064,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,33102.75,USD,33102.75,33102.75,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
59,RFPO-7139-V4358-1,06 Jan 2026,PO for RT29 Radio,YSAIR HONGKONG HOLDINGS LIMITED,"MVL USA, INC",V4358,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,995.7,USD,995.7,995.7,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
60,RFPO-1005-V7264-1,06 Jan 2026,PO for PVC Pipes & Fittings,HOLBROOK PIPE SUPPLY INC.,MICRON,V7264,SUPPLY OF FRP PIPES,Fit Out Project,11906.665,USD,11906.67,11906.67,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
61,RFPO-7139-E6822-1,05 Jan 2026,PO for PVC coated conduits,Benfield Electric International Ltd.,"MVL USA, INC",E6822,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,54944.13,USD,54944.13,54944.13,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
62,RFPO-5829-V40038-1,02 Jan 2026,"PO for Air Pavement - Epoxy-Coated Dowel Bars (410mm x 25mm)  and Welded Wire Mesh (150x150x07x07mm, 2.4m x 4.8m sheets)",Unitech Di Pipes & Fittings Mfg. LLC,MACRO,V40038,"ORD-5929 UAE-123R W912ER22C0026 P-960 Triton Operational Facility, Uniited Arab Emirates",Rental,57755.5,USD,57755.5,57755.5,Base PO,2026,1,2026-01,GSA (Global Spend Analysis) + M&D (as PO)
63,RFPO-6705-V4362-2,24 Dec 2025,PO for Confined Space Kit,Industrial Safety Products,MACRO,V4362,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,1756.9,USD,1756.9,1756.9,Change Order,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
64,RFPO-8206-O1-1,24 Dec 2025,PO for Lenovo Business Laptop,Kyoto Technologies,MACRO,O1,"ORD-8206 JPN-158 GNFR-FC KAD-25-23130 Navy Exchange Services Command (NEXCOM) Navy Gateway Inns And Suites (NGIS) Central Lodging Project At Kadena Air Base - Okinawa, Japan",Computer Peripherals,47400.0,AED,12907.02,12907.02,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
65,RFPO-7073-V40013-1,19 Dec 2025,PO for Gaskets,"Smith International Gulf Services, LLC",MVL USA JV LLC,V40013,"BIOT-121.68/26 N4008424F4583 - X026 REPAIRS TO CONCRETE WATER TANK F-1655, F-308 &amp; F-1505",Subcontract,18553.5,AED,5052.12,5052.12,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
66,RFPO-5532-V4378-1,19 Dec 2025,PO for Plan Swift 11 Measurements & QTY Takeoff Software -  Perpetual License - Marte Alzate,Green Figure Technique,MVL USA JV LLC,V4378,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,7380.0,AED,2009.57,2009.57,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
67,RFPO-6852-V40037-1,19 Dec 2025,PO for Fuel System Repair Materials,Jet Fuel Specialists LLC,MVL USA JV LLC,V40037,BIOT-121.35 N4008424F4221 QC8067-Repair To Fuel Piping System. F#408 NSF DG,Building Materials,23112.64,USD,23112.64,23112.64,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
68,RFPO-6705-V40163-1,18 Dec 2025,"PO for STAINLESS STEEL SS316, ASTM A312, SCH40 WELDED PIPES",PENN STAINLESS PRODUCTS,MACRO,V40163,"RMI -125 MEDICAL CLINIC, KWAJALEIN ATOLL, MARSHALL ISLANDS",Misc.,2830.61,USD,2830.61,2830.61,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
69,RFPO-7139-V40063-1,18 Dec 2025,PO for JFVD78922 - Preshipment Inspection - Coaster 19 seats bus MD6601 and Two years wearing spare parts list,V-Trust Inspection Service Co. Ltd.,"MVL USA, INC",V40063,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,268.0,USD,268.0,268.0,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
70,RFPO-5532-V4377-1,17 Dec 2025,PO for Magnet Sticker Panels - 210 × 120 cm - Estimate 3302,Alelham Consultancy LLC,MVL USA JV LLC,V4377,BIOT-121 N4008421D0082/ N4008421R0079 AEC DB DBB MACC,Machine / Equipments,3660.0,AED,996.62,996.62,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
71,RFPO-7139-V40059-1,17 Dec 2025,PO for INV-JFVD72671 - Preshipment Inspection - DONGFENG 190HP Truck Mounted XCMG 6.3Ton Crane and Spare Parts,V-Trust Inspection Service Co. Ltd.,"MVL USA, INC",V40059,"RMI-127 W9128A24C0012 Air Traffic Control Tower &amp; Terminal, Kwajalein Atoll, Republic Of The Marshall Islands",Subcontract,268.0,USD,268.0,268.0,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
72,RFPO-7212-V40017-1,17 Dec 2025,PO for Gas Detector system & Controls,BMS Btech Switchgear,"MVL USA, INC",V40017,"ORD-7212 JPN-143 W912HV24C0010 FY23 OMA, Convert Vehicle Storage Warehouse, B122-S1",Building Materials,29600.0,AED,8060.08,8060.08,Base PO,2025,12,2025-12,GSA (Global Spend Analysis) + M&D (as PO)
